Age_BP,Temp_Delta
111.697,-4.76
111.786,-4.83
111.874,-4.9
111.962,-4.94
112.05,-4.95
112.138,-4.94
112.226,-4.9
112.314,-4.87
112.402,-4.85
112.49,-4.84
112.578,-4.82
112.665,-4.81
112.752,-4.8
112.839,-4.81
112.926,-4.8
113.013,-4.72
113.1,-4.62
113.186,-4.54
113.272,-4.47
113.358,-4.42
113.443,-4.38
113.529,-4.34
113.614,-4.3
113.699,-4.26
113.783,-4.24
113.867,-4.23
113.951,-4.21
114.035,-4.17
114.118,-4.12
114.201,-4.06
114.284,-4.0
114.366,-3.95
114.448,-3.94
114.53,-3.95
114.611,-3.92
114.692,-3.9
114.773,-3.92
114.854,-3.98
114.934,-4.01
115.014,-3.99
115.093,-3.93
115.172,-3.85
115.251,-3.73
115.329,-3.59
115.407,-3.44
115.485,-3.25
115.562,-3.06
115.639,-2.91
115.716,-2.82
115.792,-2.77
115.869,-2.74
115.944,-2.74
116.02,-2.77
116.095,-2.81
116.17,-2.88
116.245,-2.96
116.32,-3.07
116.394,-3.14
116.468,-3.13
116.542,-3.1
116.616,-3.08
116.689,-3.06
116.762,-3.03
116.835,-2.99
116.94,-2.94
117.01,-2.87
117.068,-2.79
117.135,-2.75
117.193,-2.69
117.25,-2.58
117.308,-2.45
117.366,-2.37
117.424,-2.3
117.482,-2.24
117.54,-2.18
117.597,-2.13
117.654,-2.08
117.711,-2.05
117.768,-2.03
117.826,-2.03
117.883,-2.06
117.941,-2.09
117.999,-2.12
118.056,-2.13
118.113,-2.12
118.171,-2.09
118.228,-2.05
118.277,-2.03
118.335,-2.01
118.392,-2.0
118.45,-2.0
118.508,-1.95
118.566,-1.87
118.615,-1.76
118.672,-1.66
118.73,-1.61
118.789,-1.61
118.838,-1.64
118.897,-1.66
118.955,-1.67
119.014,-1.66
119.063,-1.64
119.122,-1.62
119.181,-1.61
119.231,-1.61
119.29,-1.61
119.349,-1.66
119.399,-1.71
119.458,-1.72
119.517,-1.68
119.568,-1.62
119.627,-1.59
119.687,-1.59
119.737,-1.62
119.796,-1.64
119.856,-1.64
119.906,-1.63
119.966,-1.61
120.016,-1.59
120.076,-1.58
120.126,-1.61
120.186,-1.66
120.246,-1.7
120.297,-1.71
120.356,-1.69
120.407,-1.64
120.467,-1.57
120.518,-1.49
120.578,-1.38
120.63,-1.28
120.69,-1.2
120.741,-1.15
120.801,-1.13
120.852,-1.14
120.904,-1.15
120.964,-1.2
121.015,-1.26
121.075,-1.3
121.127,-1.34
121.178,-1.38
121.238,-1.43
121.29,-1.44
121.35,-1.44
121.402,-1.42
121.454,-1.42
121.514,-1.41
121.566,-1.35
121.617,-1.27
121.678,-1.2
121.73,-1.13
121.782,-1.07
121.842,-1.02
121.894,-0.96
121.945,-0.87
122.005,-0.77
122.057,-0.7
122.117,-0.69
122.169,-0.69
122.22,-0.69
122.281,-0.68
122.332,-0.67
122.383,-0.69
122.444,-0.71
122.495,-0.74
122.546,-0.76
122.597,-0.77
122.657,-0.8
122.709,-0.86
122.76,-0.99
122.811,-1.11
122.871,-1.17
122.922,-1.18
122.974,-1.17
123.034,-1.13
123.085,-1.07
123.136,-0.99
123.188,-0.9
123.239,-0.8
123.299,-0.72
123.351,-0.66
123.403,-0.59
123.455,-0.55
123.507,-0.56
123.568,-0.53
123.62,-0.51
123.672,-0.52
123.724,-0.51
123.777,-0.49
123.829,-0.45
123.881,-0.39
123.942,-0.33
123.994,-0.29
124.046,-0.3
124.098,-0.32
124.15,-0.34
124.202,-0.37
124.253,-0.42
124.305,-0.43
124.366,-0.41
124.418,-0.4
124.47,-0.41
124.521,-0.44
124.573,-0.47
124.625,-0.52
124.677,-0.54
124.728,-0.57
124.78,-0.61
124.832,-0.62
124.883,-0.62
124.935,-0.63
124.995,-0.63
125.047,-0.58
125.099,-0.5
125.15,-0.42
125.202,-0.35
125.253,-0.29
125.305,-0.26
125.356,-0.24
125.408,-0.25
125.451,-0.29
125.502,-0.34
125.563,-0.41
125.606,-0.48
125.657,-0.55
125.709,-0.61
125.761,-0.63
125.812,-0.64
125.864,-0.67
125.916,-0.68
125.968,-0.66
126.02,-0.67
126.072,-0.65
126.124,-0.57
126.176,-0.47
126.228,-0.36
126.281,-0.22
126.342,-0.09
126.394,0.04
126.454,0.15
126.506,0.24
126.557,0.31
126.618,0.34
126.67,0.37
126.721,0.4
126.764,0.43
126.816,0.43
126.859,0.42
126.911,0.41
126.962,0.41
127.005,0.45
127.057,0.51
127.1,0.57
127.152,0.63
127.194,0.67
127.246,0.67
127.289,0.68
127.332,0.71
127.384,0.72
127.426,0.71
127.478,0.68
127.521,0.68
127.572,0.69
127.615,0.68
127.658,0.68
127.709,0.69
127.752,0.69
127.795,0.71
127.846,0.75
127.888,0.81
127.931,0.91
127.982,1.01
128.024,1.06
128.066,1.09
128.116,1.11
128.158,1.11
128.209,1.08
128.251,1.03
128.293,0.98
128.344,0.93
128.386,0.85
128.436,0.75
128.478,0.61
128.52,0.44
128.57,0.34
128.613,0.38
128.664,0.47
128.706,0.53
128.757,0.57
128.8,0.55
128.851,0.48
128.893,0.4
128.936,0.33
128.987,0.28
129.039,0.28
129.082,0.29
129.134,0.26
129.185,0.2
129.228,0.14
129.28,0.13
129.332,0.16
129.376,0.2
129.428,0.29
129.48,0.38
129.532,0.44
129.584,0.45
129.637,0.37
129.689,0.21
129.742,0.08
129.786,0.02
129.839,-0.02
129.892,-0.06
129.944,-0.12
129.997,-0.21
130.059,-0.3
130.112,-0.39
130.165,-0.53
130.227,-0.66
130.281,-0.74
130.334,-0.8
130.397,-0.83
130.45,-0.87
130.504,-0.91
130.566,-0.93
130.619,-0.99
130.681,-1.05
130.744,-1.09
130.798,-1.13
130.86,-1.18
130.923,-1.23
130.986,-1.29
131.04,-1.36
131.103,-1.46
131.165,-1.57
131.228,-1.68
131.291,-1.78
131.354,-1.87
131.426,-1.94
131.489,-1.97
131.552,-1.99
131.616,-2.05
131.687,-2.1
131.751,-2.14
131.814,-2.16
131.886,-2.19
131.959,-2.24
132.031,-2.29
132.104,-2.38
132.177,-2.53
132.249,-2.73
132.322,-2.93
132.395,-3.11
132.468,-3.26
132.54,-3.38
132.622,-3.46
132.703,-3.51
132.785,-3.55
132.867,-3.57
132.948,-3.58
133.03,-3.58
133.112,-3.61
133.193,-3.72
133.275,-3.86
133.356,-4.0
133.438,-4.15
133.528,-4.32
133.619,-4.47
133.7,-4.63
133.791,-4.78
133.881,-4.9
133.962,-5.02
134.054,-5.14
134.145,-5.27
134.237,-5.42
134.329,-5.54
134.431,-5.63
134.524,-5.72
134.626,-5.78
134.719,-5.83
134.821,-5.87
134.915,-5.9
135.018,-5.92
135.121,-5.94
135.214,-5.91
135.316,-5.9
135.418,-5.95
135.529,-5.99
135.631,-6.01
135.733,-6.03
135.835,-6.07
135.937,-6.11
136.039,-6.16
136.15,-6.2
136.252,-6.22
136.363,-6.24
136.465,-6.25
136.575,-6.23
136.685,-6.19
136.787,-6.19
136.897,-6.22
137.007,-6.27
137.107,-6.32
137.216,-6.38
137.325,-6.48
137.433,-6.58
137.541,-6.7
137.649,-6.81
137.759,-6.89
137.87,-6.96
137.98,-7.0
138.09,-7.01
138.201,-6.99
138.311,-6.95
138.421,-6.87
138.531,-6.79
138.642,-6.75
138.761,-6.75
138.871,-6.79
138.981,-6.82
139.099,-6.86
139.209,-6.89
139.318,-6.92
139.436,-6.93
139.545,-6.94
139.654,-6.94
139.771,-6.93
139.879,-6.89
139.995,-6.86
140.102,-6.83
140.216,-6.81
140.333,-6.79
140.442,-6.8
140.558,-6.81
140.666,-6.81
140.783,-6.83
140.89,-6.86
141.006,-6.87
141.113,-6.84
141.228,-6.81
141.333,-6.79
141.448,-6.79
141.555,-6.79
141.671,-6.79
141.778,-6.78
141.894,-6.81
142.001,-6.82
142.116,-6.79
142.222,-6.77
142.337,-6.79
142.443,-6.81
142.548,-6.81
142.663,-6.83
142.769,-6.84
142.884,-6.85
142.99,-6.84
143.096,-6.82
143.21,-6.79
143.316,-6.74
143.43,-6.72
143.535,-6.71
143.64,-6.68
143.745,-6.65
143.859,-6.59
143.965,-6.53
144.079,-6.51
144.184,-6.51
144.29,-6.51
144.403,-6.56
144.509,-6.63
144.613,-6.69
144.727,-6.74
144.832,-6.78
144.945,-6.82
145.049,-6.82
145.162,-6.79
145.266,-6.77
145.37,-6.75
145.482,-6.71
145.586,-6.68
145.697,-6.63
145.8,-6.57
145.911,-6.52
146.014,-6.5
146.126,-6.49
146.229,-6.49
146.34,-6.48
146.442,-6.5
146.544,-6.55
146.654,-6.6
146.755,-6.65
146.867,-6.68
146.97,-6.69
147.074,-6.68
147.186,-6.66
147.29,-6.66
147.393,-6.63
147.506,-6.6
147.609,-6.56
147.713,-6.51
147.826,-6.46
147.929,-6.41
148.033,-6.36
148.145,-6.32
148.248,-6.3
148.352,-6.29
148.455,-6.29
148.558,-6.31
148.671,-6.34
148.774,-6.34
148.879,-6.27
148.984,-6.24
149.089,-6.24
149.195,-6.23
149.3,-6.21
149.406,-6.19
149.512,-6.15
149.618,-6.08
149.724,-6.01
149.831,-5.96
149.937,-5.9
150.04,-5.85
150.143,-5.81
150.246,-5.8
150.348,-5.82
150.45,-5.85
150.551,-5.88
150.652,-5.93
150.752,-6.02
150.853,-6.11
150.957,-6.2
151.06,-6.3
151.164,-6.4
151.267,-6.44
151.371,-6.46
151.474,-6.49
151.587,-6.5
151.69,-6.47
151.794,-6.43
151.906,-6.42
152.008,-6.41
152.11,-6.42
152.222,-6.41
152.324,-6.41
152.426,-6.44
152.544,-6.49
152.663,-6.5
152.791,-6.5
152.91,-6.52
153.03,-6.49
153.149,-6.49
153.269,-6.52
153.388,-6.57
153.516,-6.61
153.627,-6.68
153.74,-6.75
153.852,-6.77
153.965,-6.79
154.087,-6.85
154.2,-6.87
154.313,-6.85
154.427,-6.84
154.542,-6.83
154.665,-6.81
154.779,-6.8
154.893,-6.79
155.017,-6.76
155.132,-6.72
155.255,-6.76
155.371,-6.85
155.487,-6.89
155.612,-6.93
155.728,-6.95
155.845,-6.89
155.969,-6.87
156.084,-6.84
156.199,-6.82
156.315,-6.78
156.43,-6.71
156.546,-6.6
156.671,-6.46
156.787,-6.37
156.903,-6.28
157.019,-6.17
157.135,-6.12
157.242,-6.13
157.358,-6.06
157.473,-6.04
157.589,-5.99
157.696,-5.9
157.811,-5.77
157.927,-5.62
158.034,-5.51
158.15,-5.39
158.257,-5.27
158.363,-5.16
158.478,-5.08
158.584,-4.96
158.699,-4.92
158.804,-4.92
158.909,-5.03
159.023,-5.16
159.128,-5.25
159.232,-5.34
159.344,-5.4
159.448,-5.46
159.559,-5.48
159.662,-5.54
159.774,-5.64
159.876,-5.73
159.987,-5.78
160.088,-5.89
160.197,-5.95
160.296,-6.02
160.403,-6.08
160.51,-6.11
160.619,-6.1
160.728,-6.05
160.827,-5.98
160.934,-5.87
161.041,-5.74
161.148,-5.58
161.252,-5.45
161.362,-5.37
161.471,-5.35
161.588,-5.34
161.697,-5.38
161.807,-5.44
161.925,-5.52
162.035,-5.62
162.145,-5.72
162.266,-5.83
162.378,-5.91
162.5,-5.99
162.622,-6.09
162.744,-6.15
162.868,-6.22
162.992,-6.31
163.117,-6.44
163.242,-6.54
163.365,-6.63
163.488,-6.71
163.612,-6.76
163.736,-6.78
163.861,-6.78
163.995,-6.74
164.12,-6.7
164.246,-6.66
164.381,-6.63
164.518,-6.62
164.642,-6.62
164.766,-6.6
164.899,-6.61
165.024,-6.6
165.157,-6.61
165.281,-6.61
165.414,-6.59
165.539,-6.58
165.672,-6.56
165.797,-6.52
165.922,-6.49
166.055,-6.47
166.18,-6.5
166.314,-6.52
166.439,-6.55
166.564,-6.52
166.68,-6.45
166.805,-6.39
166.931,-6.31
167.056,-6.21
167.181,-6.1
167.307,-5.96
167.432,-5.9
167.556,-5.86
167.672,-5.81
167.787,-5.69
167.912,-5.58
168.027,-5.47
168.143,-5.36
168.258,-5.28
168.382,-5.23
168.496,-5.23
168.611,-5.24
168.734,-5.2
168.847,-5.21
168.961,-5.27
169.073,-5.3
169.186,-5.32
169.297,-5.41
169.408,-5.54
169.527,-5.59
169.636,-5.63
169.744,-5.66
169.853,-5.66
169.962,-5.59
170.071,-5.52
170.188,-5.5
170.295,-5.52
170.401,-5.56
170.506,-5.61
170.617,-5.71
170.725,-5.77
170.833,-5.8
170.941,-5.86
171.057,-5.94
171.164,-6.05
171.28,-6.11
171.386,-6.12
171.502,-6.19
171.611,-6.25
171.721,-6.16
171.84,-6.01
171.951,-5.89
172.07,-5.78
172.182,-5.64
172.293,-5.54
172.414,-5.45
172.527,-5.38
172.648,-5.3
172.76,-5.22
172.874,-5.15
172.996,-5.1
173.11,-5.0
173.233,-4.95
173.348,-4.97
173.472,-4.96
173.588,-4.96
173.704,-4.98
173.826,-4.99
173.94,-5.0
174.054,-5.0
174.177,-5.03
174.291,-5.1
174.405,-5.24
174.529,-5.32
174.652,-5.41
174.767,-5.5
174.891,-5.6
175.004,-5.71
175.126,-5.78
175.247,-5.79
175.359,-5.81
175.48,-5.82
175.592,-5.83
175.712,-5.84
175.832,-5.79
175.951,-5.67
176.063,-5.6
176.184,-5.56
176.305,-5.53
176.426,-5.58
176.538,-5.69
176.658,-5.8
176.778,-5.9
176.899,-6.01
177.019,-6.13
177.14,-6.25
177.253,-6.31
177.375,-6.28
177.498,-6.2
177.62,-6.07
177.743,-5.9
177.866,-5.74
177.981,-5.57
178.104,-5.38
178.228,-5.27
178.351,-5.21
178.473,-5.17
178.596,-5.11
178.718,-5.09
178.841,-5.12
178.964,-5.13
179.087,-5.11
179.21,-5.1
179.333,-5.13
179.465,-5.16
179.587,-5.13
179.71,-5.11
179.84,-5.14
179.962,-5.21
180.084,-5.36
180.214,-5.51
180.335,-5.69
180.465,-5.82
180.594,-5.91
180.724,-6.0
180.855,-6.08
180.985,-6.14
181.115,-6.19
181.245,-6.28
181.383,-6.35
181.513,-6.38
181.643,-6.44
181.772,-6.47
181.912,-6.49
182.052,-6.5
182.192,-6.53
182.324,-6.55
182.465,-6.59
182.606,-6.62
182.748,-6.6
182.89,-6.56
183.032,-6.56
183.166,-6.54
183.316,-6.56
183.458,-6.61
183.6,-6.64
183.743,-6.66
183.886,-6.68
184.038,-6.7
184.182,-6.72
184.326,-6.74
184.471,-6.75
184.617,-6.72
184.768,-6.64
184.911,-6.6
185.053,-6.62
185.196,-6.61
185.339,-6.57
185.49,-6.53
185.633,-6.49
185.776,-6.42
185.918,-6.39
186.061,-6.38
186.203,-6.34
186.345,-6.31
186.487,-6.36
186.628,-6.39
186.769,-6.39
186.901,-6.38
187.041,-6.38
187.181,-6.39
187.32,-6.34
187.459,-6.27
187.588,-6.2
187.718,-6.17
187.849,-6.13
187.98,-6.04
188.119,-5.91
188.25,-5.81
188.379,-5.75
188.509,-5.7
188.637,-5.56
188.765,-5.39
188.893,-5.19
189.012,-4.96
189.141,-4.76
189.262,-4.55
189.39,-4.4
189.518,-4.35
189.637,-4.38
189.765,-4.42
189.883,-4.47
190.008,-4.53
190.125,-4.63
190.252,-4.76
190.37,-4.87
190.488,-4.94
190.614,-4.99
190.731,-5.01
190.856,-5.0
190.972,-5.0
191.087,-4.99
191.211,-5.04
191.328,-5.14
191.454,-5.24
191.571,-5.35
191.696,-5.47
191.813,-5.54
191.938,-5.55
192.054,-5.56
192.18,-5.49
192.298,-5.38
192.426,-5.25
192.554,-5.14
192.674,-5.03
192.803,-4.9
192.933,-4.74
193.054,-4.57
193.185,-4.49
193.315,-4.44
193.444,-4.45
193.566,-4.5
193.696,-4.53
193.827,-4.61
193.958,-4.7
194.09,-4.81
194.223,-4.95
194.356,-5.06
194.48,-5.11
194.612,-5.12
194.743,-5.11
194.874,-5.06
195.004,-4.95
195.135,-4.9
195.266,-4.79
195.388,-4.67
195.519,-4.58
195.65,-4.51
195.781,-4.48
195.912,-4.44
196.034,-4.4
196.165,-4.36
196.296,-4.32
196.436,-4.29
196.576,-4.26
196.716,-4.17
196.856,-4.04
196.996,-3.9
197.135,-3.71
197.275,-3.58
197.414,-3.53
197.553,-3.49
197.675,-3.47
197.797,-3.48
197.918,-3.46
198.039,-3.46
198.16,-3.47
198.281,-3.49
198.402,-3.48
198.522,-3.44
198.642,-3.37
198.762,-3.29
198.873,-3.16
198.992,-3.04
199.102,-2.98
199.22,-2.93
199.337,-2.89
199.446,-2.88
199.565,-2.87
199.676,-2.84
199.795,-2.79
199.914,-2.74
200.024,-2.7
200.134,-2.65
200.253,-2.59
200.362,-2.52
200.481,-2.45
200.592,-2.39
200.702,-2.31
200.822,-2.28
200.933,-2.28
201.052,-2.31
201.163,-2.38
201.283,-2.44
201.393,-2.47
201.513,-2.48
201.633,-2.46
201.744,-2.43
201.864,-2.43
201.976,-2.41
202.096,-2.41
202.208,-2.44
202.338,-2.46
202.459,-2.48
202.58,-2.5
202.7,-2.56
202.821,-2.7
202.943,-2.82
203.064,-2.92
203.186,-2.99
203.309,-3.04
203.44,-3.09
203.572,-3.14
203.696,-3.15
203.826,-3.15
203.958,-3.17
204.089,-3.21
204.221,-3.23
204.353,-3.27
204.486,-3.37
204.619,-3.49
204.753,-3.6
204.896,-3.72
205.039,-3.84
205.176,-3.96
205.317,-4.08
205.46,-4.13
205.604,-4.15
205.743,-4.14
205.884,-4.12
206.017,-4.11
206.163,-4.1
206.318,-4.04
206.454,-4.0
206.603,-3.95
206.758,-3.93
206.902,-3.91
207.057,-3.89
207.197,-3.89
207.348,-3.86
207.499,-3.83
207.643,-3.79
207.796,-3.75
207.95,-3.71
208.094,-3.62
208.242,-3.51
208.389,-3.41
208.538,-3.3
208.672,-3.25
208.819,-3.23
208.965,-3.23
209.115,-3.22
209.255,-3.19
209.407,-3.15
209.554,-3.14
209.692,-3.15
209.837,-3.1
209.978,-3.05
210.12,-2.98
210.263,-2.89
210.398,-2.83
210.541,-2.76
210.681,-2.66
210.829,-2.57
210.982,-2.52
211.129,-2.54
211.272,-2.57
211.417,-2.59
211.553,-2.58
211.691,-2.58
211.83,-2.56
211.979,-2.51
212.116,-2.47
212.254,-2.45
212.392,-2.39
212.533,-2.31
212.672,-2.22
212.806,-2.14
212.944,-2.06
213.086,-2.02
213.222,-2.0
213.358,-1.99
213.495,-1.98
213.637,-1.98
213.774,-2.01
213.916,-2.01
214.049,-1.97
214.19,-1.96
214.324,-1.96
214.464,-1.98
214.605,-1.96
214.736,-1.94
214.875,-1.91
215.017,-1.91
215.154,-1.93
215.287,-1.93
215.419,-1.92
215.557,-1.92
215.698,-1.91
215.838,-1.89
215.974,-1.85
216.116,-1.82
216.246,-1.78
216.382,-1.75
216.522,-1.78
216.66,-1.84
216.798,-1.94
216.925,-2.05
217.069,-2.15
217.204,-2.24
217.343,-2.3
217.481,-2.34
217.62,-2.35
217.757,-2.34
217.893,-2.25
218.036,-2.11
218.177,-1.96
218.314,-1.83
218.45,-1.75
218.59,-1.71
218.719,-1.69
218.874,-1.71
219.026,-1.76
219.174,-1.83
219.321,-1.93
219.471,-2.07
219.622,-2.2
219.756,-2.29
219.9,-2.42
220.047,-2.57
220.191,-2.68
220.338,-2.75
220.488,-2.8
220.628,-2.88
220.776,-2.93
220.927,-2.97
221.079,-3.06
221.23,-3.21
221.385,-3.31
221.551,-3.42
221.715,-3.57
221.876,-3.71
222.03,-3.83
222.189,-3.96
222.356,-4.11
222.517,-4.24
222.68,-4.34
222.847,-4.4
223.012,-4.5
223.176,-4.61
223.353,-4.72
223.525,-4.85
223.706,-5.04
223.875,-5.22
224.054,-5.37
224.225,-5.51
224.41,-5.67
224.584,-5.81
224.768,-5.9
224.948,-5.96
225.137,-6.08
225.315,-6.2
225.502,-6.26
225.684,-6.31
225.877,-6.41
226.06,-6.46
226.249,-6.38
226.434,-6.3
226.635,-6.22
226.842,-6.13
227.032,-5.98
227.229,-5.8
227.433,-5.65
227.633,-5.49
227.827,-5.34
228.028,-5.26
228.223,-5.25
228.427,-5.29
228.626,-5.38
228.819,-5.54
229.012,-5.74
229.214,-5.91
229.401,-6.01
229.598,-6.07
229.792,-6.12
229.984,-6.12
230.182,-6.09
230.373,-6.05
230.572,-6.06
230.768,-6.05
230.972,-6.0
231.169,-5.98
231.39,-5.98
231.589,-5.99
231.786,-5.99
231.996,-6.01
232.204,-6.04
232.406,-6.04
232.607,-5.99
232.814,-5.91
233.014,-5.79
233.212,-5.66
233.404,-5.53
233.607,-5.42
233.81,-5.34
233.999,-5.27
234.205,-5.17
234.409,-5.07
234.614,-4.97
234.805,-4.85
234.993,-4.71
235.174,-4.57
235.363,-4.45
235.55,-4.36
235.737,-4.29
235.924,-4.18
236.114,-4.09
236.301,-4.0
236.483,-3.89
236.657,-3.77
236.837,-3.64
237.001,-3.5
237.181,-3.39
237.363,-3.29
237.538,-3.21
237.704,-3.14
237.88,-3.09
238.062,-3.03
238.224,-3.0
238.394,-2.98
238.553,-2.99
238.715,-3.01
238.873,-3.0
239.041,-2.95
239.198,-2.87
239.358,-2.81
239.529,-2.74
239.693,-2.7
239.843,-2.59
239.998,-2.46
240.144,-2.36
240.3,-2.26
240.448,-2.16
240.596,-2.03
240.749,-1.87
240.893,-1.66
241.045,-1.47
241.201,-1.26
241.349,-1.01
241.496,-0.75
241.648,-0.5
241.785,-0.3
241.935,-0.15
242.085,-0.05
242.235,0.18
